test_id,rand_ind,ref_time,ref_obsid,y_ang_offset,z_ang_offset,search_box_hw,ccd_temp,star_0_mag,star_1_mag,star_2_mag,star_3_mag,star_4_mag,star_5_mag,star_6_mag,star_7_mag,star_0_row,star_1_row,star_2_row,star_3_row,star_4_row,star_5_row,star_6_row,star_7_row,star_0_col,star_1_col,star_2_col,star_3_col,star_4_col,star_5_col,star_6_col,star_7_col,slot_0_box_hw,slot_1_box_hw,slot_2_box_hw,slot_3_box_hw,slot_4_box_hw,slot_5_box_hw,slot_6_box_hw,slot_7_box_hw,star_0_sz,star_1_sz,star_2_sz,star_3_sz,star_4_sz,star_5_sz,star_6_sz,star_7_sz,bg_row_offset,bg_col_offset,scale_4c,int_time,hot_px_brightness,image_0_fcn,image_1_fcn,image_2_fcn,image_3_fcn,image_4_fcn,image_5_fcn,image_6_fcn,image_7_fcn,image_0_row,image_1_row,image_2_row,image_3_row,image_4_row,image_5_row,image_6_row,image_7_row,image_0_col,image_1_col,image_2_col,image_3_col,image_4_col,image_5_col,image_6_col,image_7_col,sample_time,search_success_0,search_success_1,search_success_2,search_success_3,search_success_4,search_success_5,search_success_6,search_success_7
2018.299,21,0,0,6,-6,60,-13,8,9,9.5,9.75,10,10.25,10.5,10.75,359.72,-388.1,-257.61,105.32,395.52,-209.26,-283.85,190.2,-100.81,168.31,-313.37,381.72,-343.53,235.07,-131.62,-339.55,60,60,60,60,60,60,60,60,8,8,8,8,8,8,8,8,659,766,1.42,1.696,0,1,1,1,1,1,1,0,1,356,-392,-262,101,392,-213,511,187,-105,164,-317,378,-348,231,511,-344,909441500.642,1,1,1,1,1,1,0,1
2018.299,22,0,0,6,6,60,-13,8,9,9.5,9.75,10,10.25,10.5,10.75,-408.58,-124.14,341.24,206.98,371.59,-181.41,145.76,-106.43,405.22,128.46,297.7,-125.79,-327.11,-137.46,144.63,-328.6,60,60,60,60,60,60,60,60,8,8,8,8,8,8,8,8,417,361,1.42,1.696,0,1,1,1,1,1,1,1,0,-413,-128,337,203,368,-186,142,511,401,125,294,-130,-331,-141,140,511,909441583.925,1,1,1,1,1,1,1,0
2018.299,23,0,0,6,18,60,-13,8,9,9.5,9.75,10,10.25,10.5,10.75,-273.51,341.81,273,-254.01,126.67,283.14,-408.73,-124.15,-139.07,-406.51,-163.32,-300.96,-255.79,366.79,110.75,-105.43,60,60,60,60,60,60,60,60,8,8,8,8,8,8,8,8,267,457,1.42,1.696,0,1,1,1,1,1,1,1,1,-277,338,269,-258,123,279,-413,-127,-143,-410,-167,-305,-260,363,107,-109,909441667.205,1,1,1,1,1,1,1,1
2018.299,24,0,0,6,30,60,-13,8,9,9.5,9.75,10,10.25,10.5,10.75,-130.52,311.23,-387.77,362.81,377.6,172.24,-347.92,-142.44,-285.51,-217.38,-175.44,400.56,-377.92,-361.81,402.39,306.86,60,60,60,60,60,60,60,60,8,8,8,8,8,8,8,8,623,34,1.42,1.696,0,1,1,1,1,1,1,1,1,-135,307,-392,359,373,168,-352,154,-290,-221,-180,397,-382,-366,398,-357,909441750.237,1,1,1,1,1,1,1,0
2018.299,25,0,0,18,-30,60,-13,8,9,9.5,9.75,10,10.25,10.5,10.75,-211.91,141.81,272.54,-323.31,399.71,-182.5,350.32,-202.05,362.29,191.44,-314.82,-250.24,-190.11,-404.29,231.63,206.7,60,60,60,60,60,60,60,60,8,8,8,8,8,8,8,8,647,745,1.42,1.696,0,1,1,1,1,1,1,0,1,-216,138,263,-327,396,-186,511,-217,358,187,-325,-254,-194,-408,511,191,909441833.506,1,1,0,1,1,1,0,0
2018.299,26,0,0,18,-18,60,-13,8,9,9.5,9.75,10,10.25,10.5,10.75,-394.09,-105.01,187.96,220.35,410.33,396.38,-341.36,229.87,-336.62,-311.51,-212.52,112.75,136.38,352.5,360.51,-388.3,60,60,60,60,60,60,60,60,8,8,8,8,8,8,8,8,777,636,1.42,1.696,0,1,1,1,1,1,1,1,1,-398,-109,184,216,407,214,-345,226,-341,-316,-217,109,133,-394,356,-392,909441916.783,1,1,1,1,1,0,1,1
2018.299,27,0,0,18,-6,60,-13,8,9,9.5,9.75,10,10.25,10.5,10.75,-299.8,-156.84,134.07,347.29,-308.12,394.47,-135.13,123.99,185.67,-290.38,398.74,-243.46,385.84,175.17,-141.25,-231.95,60,60,60,60,60,60,60,60,8,8,8,8,8,8,8,8,239,128,1.42,1.696,0,1,1,1,1,1,1,1,1,-304,-161,130,343,-312,390,-139,112,182,-294,395,-247,382,171,-145,-226,909442000.085,1,1,1,1,1,1,1,0
2018.299,28,0,0,18,6,60,-13,8,9,9.5,9.75,10,10.25,10.5,10.75,179.62,-148.08,-117.94,387.46,381.76,169.99,-218.78,-247.2,-287.96,409.56,-199.94,268.93,-319.87,218.9,212.68,-101.98,60,60,60,60,60,60,60,60,8,8,8,8,8,8,8,8,295,220,1.42,1.696,0,1,1,1,1,1,0,1,0,176,-152,-122,383,378,511,-219,511,-292,406,-204,265,-324,511,206,511,909442083.093,1,1,1,1,1,0,0,0
2018.299,29,0,0,18,18,60,-13,8,9,9.5,9.75,10,10.25,10.5,10.75,109.51,-290.39,361.72,-410.06,-382.61,-250.48,147.17,-149.75,234.26,-277.53,-299.82,410.14,-402.22,-112.96,-123.53,-338.99,60,60,60,60,60,60,60,60,8,8,8,8,8,8,8,8,23,315,1.42,1.696,0,1,1,1,1,1,1,1,1,105,-294,358,-414,-387,-255,143,-167,230,-281,-304,406,-406,-117,-128,-352,909442166.376,1,1,1,1,1,1,1,0
2018.299,30,0,0,18,30,60,-13,8,9,9.5,9.75,10,10.25,10.5,10.75,-115.67,-240.1,-371.88,120.44,-138.58,-116.33,269.6,-386.65,177.37,295.43,-126.15,-285.32,-363.07,-153.14,276.29,-374.11,60,60,60,60,60,60,60,60,8,8,8,8,8,8,8,8,298,31,1.42,1.696,0,1,1,1,1,1,1,1,1,-120,-244,-376,116,-143,-120,265,-386,173,291,-130,-289,-367,-157,273,-375,909442249.659,1,1,1,1,1,1,1,0
